Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
"Mr. Muscle Toilet Freshener, Marine - 8 Pieces...",Mr muscle,32.40,مستر ماسل اقراص منعشة مارين 8ق,مستر ماسل,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h16/h62/10070084321310/503456_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7e/h65/10070084223006/503456_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd0/h64/10070084288542/503456_main.jpg_146Wx146H"
Harpic Forest Dew Toilet Freshener - 39gm...,Harpic,20.50,هاربيك معطر تواليت فورست ديو 39ج,هاربيك,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3e/h64/10070073311262/504011_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd6/h60/10070073212958/504011_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h84/h61/10070073278494/504011_main.jpg_146Wx146H"
"Mr. Muscle Toilet Freshener, Citrus - 8 Pieces...",Mr muscle,32.40,مستر ماسل اقراص منعشة ليمون 8ق,مستر ماسل,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h07/h72/10070081863710/503455_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9f/h6e/10070081765406/503455_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb0/h71/10070081830942/503455_main.jpg_146Wx146H"
Persil Gel Detergent - 3.9 Kg,Persil,105.25,برسيل جل 3.9ك 30% خصم,برسيل,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/المنظفات/المنظفات السائلة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9b/hd2/10135214161950/506190_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h03/hd6/10135214063646/506190_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h04/hd3/10135214129182/506190_main.jpg_146Wx146H"
Fast Carpet Cleaner - 795ml,FAST,23.95,فاست منظف سجاد 795مل,فاست,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف السجاد والأرضيات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0b/hbb/9344317259806/507131_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc8/hc1/9344317063198/507131_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h09/hbe/9344317194270/507131_main.jpg_146Wx146H"
Harpic Marine Splash Toilet Freshener - 39gm...,Harpic,20.50,هاربيك معطر تواليت مارين سبلش 39ج,هاربيك,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb3/h0f/10070072983582/504010_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4b/h0c/10070072885278/504010_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5c/h0f/10070072950814/504010_main.jpg_146Wx146H"
Ariel Powder Detergent With A Touch of Downy - 1Kg...,Ariel,27.75,اريال عادى بلمسة الدونى 1كجم,آريال,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/المنظفات/تعبئة أمامية,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h52/hcf/10066650693662/279187_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hea/hcb/10066650595358/279187_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hfb/hce/10066650660894/279187_main.jpg_146Wx146H"
Feba Dishwashing Liquid With Green Lemon - 730 ml...,Feba,12.95,فيبا منظف اطباق ليم 730م,فيبا,أدوات التنظيف المنزلية/مستلزمات التنظيف/غسالات الصحون والأقراص/منظف ​​الصحون,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h78/hec/10066231328798/124866_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h23/he9/10066231230494/124866_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd2/he9/10066231296030/124866_main.jpg_146Wx146H"
Soft Rose Kitchen Towels - 2 Rolls,SOFT ROSE,14.95,سوفت-روز مطبخ 2رول,سوفت روز,أدوات التنظيف المنزلية/ورق حمام ومطبخ/لفائف لف الطعام,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3a/h25/10066254856222/153043_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha2/h28/10066254757918/153043_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h91/h25/10066254823454/153043_main.jpg_146Wx146H"
Persil Automatic Powder Detergent - 800gm...,Persil,33.45,برسيل اوتوماتيك 800ج,برسيل,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/المنظفات/تعبئة أمامية,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb0/h3d/10066539741214/294516_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h18/h41/10066539642910/294516_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1a/h3e/10066539708446/294516_main.jpg_146Wx146H"
