Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
FRETZEL CHEESE SNACKS 90G,,4.95,فرتزل سناكس جبنة 90ج,,أطعمة طازجة/الأطعمة المبردة/مقبلات لحوم وغيرها/لحم بقري,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h13/he1/9956745478174/507322_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h55/hda/9956745281566/507322_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h64/he0/9956745412638/507322_main.jpg_146Wx146H"
FRETZEL TOMATOES SNACKS 90G,,4.95,فرتزل سناكس طماطم 90ج,,أطعمة طازجة/الأطعمة المبردة/مقبلات لحوم وغيرها/لحم بقري,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdf/h26/10070336241694/507321_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h47/h2a/10070336143390/507321_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h49/h27/10070336208926/507321_main.jpg_146Wx146H"
NESQUIK CHOCOLATE MILK 180M,Nesquik,4.95,نسكويك لبن شيكولتة 180م,نيسكويك,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc2/h31/10067852230686/455866_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2a/h35/10067852132382/455866_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7c/h34/10067852197918/455866_main.jpg_146Wx146H"
Juhayna Skimmed Milk - 1.5 Liter,Juhayna,24.25,جهينة لبن خالى الدسم 1.5ل,جهينة,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/الحليب المقشود,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h75/hf3/10065464688670/12720_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hca/hf6/10065464590366/12720_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcc/hf3/10065464655902/12720_main.jpg_146Wx146H"
Lactel Clowny Banana Milk - 225ml,Lactel,5.50,لكتيل كلوني لبن موز 225م,لاكتل,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hba/h7d/10067869204510/457042_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h22/h81/10067869106206/457042_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h61/h80/10067869171742/457042_main.jpg_146Wx146H"
ALMARAI MILK BANANA 5+1,Almarai,21.95,5+1 المراعي حليب موز,المراعي,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb2/h51/10068018233374/467830_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2c/h58/10068018069534/467830_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0a/h52/10068018200606/467830_main.jpg_146Wx146H"
"Nesquick Chocolate Milk, 180ml - Pack of 4...",Nesquik,13.95,4*نسكويك لبن شيكولتة 180م,نيسكويك,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h74/he7/10068299251742/473849_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0c/he4/10068299153438/473849_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0a/he7/10068299218974/473849_main.jpg_146Wx146H"
Danone Dango Strawberry Milk - 200 ml,Danone,4.75,دانون دانجو لبن فراولة 200م,دانون,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h17/hed/10066582798366/342902_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h12/hec/10066582700062/342902_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc0/hec/10066582765598/342902_main.jpg_146Wx146H"
JUHAYNA SKIMMED MILK 200M,Juhayna,4.25,جهينة لبن خالى الدسم 200م,جهينة,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/الحليب المقشود,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdb/h46/9802645962782/12725_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h73/h43/9802645864478/12725_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h84/h46/9802645930014/12725_main.jpg_146Wx146H"
Lactel Strawberry Milk - 225ml,Lactel,5.50,لكتيل لبن فراولة 225م,لاكتل,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h82/h1a/10067467632670/440163_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1b/h17/10067467534366/440163_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc8/h17/10067467599902/440163_main.jpg_146Wx146H"
LACTEL SKIMMED MILK 1L,Lactel,17.25,لكتيل لبن خالي الدسم 1ل,لاكتل,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/الحليب المقشود,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbb/h70/10067442827294/440160_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h53/h6d/10067442728990/440160_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h14/h6e/10067442794526/440160_main.jpg_146Wx146H"
Danette Chocolate Milk - 200 ml,Danette,5.00,دانيت مشروب شوكولتة 200م,دانيت,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h15/hd2/10068596555806/481620_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7d/hd5/10068596457502/481620_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6b/hd2/10068596523038/481620_main.jpg_146Wx146H"
Almarai Skimmed Milk 750ml750,Almarai,12.50,المراعى لبن خالى الدسم 750م,المراعي,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/الحليب المقشود,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h28/h62/10068133150750/469747_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc0/h5e/10068133052446/469747_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbe/h61/10068133117982/469747_main.jpg_146Wx146H"
Almarai Treats Chocolate Milk - 200 ml,Almarai,4.25,المراعى لبن شوكولتة 200م,المراعي,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h69/h5a/8946325815326/420789_main.jpeg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd1/h5d/8946325717022/420789_main.jpeg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h10/h5d/8946325782558/420789_main.jpeg_146Wx146H"
Almarai Treats Banana Milk - 200 ml,Almarai,4.25,المراعى لبن موز 200م,المراعي,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcf/h60/8946325651486/420788_main.jpeg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h37/h64/8946325553182/420788_main.jpeg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h39/h61/8946325618718/420788_main.jpeg_146Wx146H"
Lactel Chocolate Milk - 225ml,Lactel,5.50,لكتيل لبن شوكولتة 225م,لاكتل,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب طويل الأجل منكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h99/h1e/10067467796510/440162_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h31/h1b/10067467698206/440162_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h42/h1e/10067467763742/440162_main.jpg_146Wx146H"
Juhayna Full Cream Milk - 1.5 Liter,Juhayna,24.25,جهينة لبن كامل الدسم 1.5ل,جهينة,أطعمة طازجة/منتجات الألبان والبيض/حليب ولبن/حليب كامل الدسم,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hec/hfb/10065480613918/12719_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/had/hfd/10065480450078/12719_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h93/hfe/10065480581150/12719_main.jpg_146Wx146H"
