Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
KITKAT ICE CREAM STICK 90M,Kitkat,9.75,كيتكات ايس كريم ستيك 90م,كتكات,أطعمة مجمّدة/بوظة وحلويات/بوظة متنوعة/ايس كريم,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbb/hbe/10162676006942/513292_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h30/hf6/10162675908638/513292_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf2/hf6/10162675974174/513292_main.jpg_146Wx146H"
MONTANA MIXED VEGETABLES-CORN 400G,Montana,8.25,مونتانا خضار مشكل مع ذرة 400ج,مونتانا,أطعمة مجمّدة/خضار وفواكه/الخضروات المجمدة/مزيج الخضروات,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h41/h28/10065548083230/12484_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h91/h26/10065547853854/12484_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hea/h27/10065548050462/12484_main.jpg_146Wx146H"
MEGA ICE CREAM VANILLA 82G,Mega,7.45,ميجا ايس كريم فانيليا 82ج,ميجا,أطعمة مجمّدة/بوظة وحلويات/بوظة متنوعة/ايس كريم,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha3/he8/10162675515422/36616_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3b/he5/10162675417118/36616_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hfc/he5/10162675482654/36616_main.jpg_146Wx146H"
CARNAVALITA ICE CREAM VAN STRAW850M,Carnavalita,18.45,كرنفاليتا ايس كريم فان فراولة850م,كارنافاليتا,أطعمة مجمّدة/بوظة وحلويات/أكواب بوظة/أيس كريم حجم عائلي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h29/h65/10162672074782/13104_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3d/hb0/10162671976478/13104_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h80/h65/10162672042014/13104_main.jpg_146Wx146H"
RADA CARAMEL SUNDAY 200ML,Dili,9.45,رادا صن داي كراميل 200م,ديلي,أطعمة مجمّدة/بوظة وحلويات/بوظة متنوعة/صندوق فردي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf9/h5d/10065921769502/37798_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha5/h5a/10065921671198/37798_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha2/h5d/10065921736734/37798_main.jpg_146Wx146H"
Halwani Chicken Nuggets - 400gm,Halwani bros,33.95,حلوانى ناجتس دجاج 400ج,حلواني إخوان,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/دجاج جاهز للطبخ/قطع الدجاج,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb2/hbb/9802358063134/38057_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h36/h6d/9802357866526/38057_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf5/h70/9802357997598/38057_main.jpg_146Wx146H"
Atyab Pane Chicken Fillet - 1 kg,Atyab,85.95,اطياب دجاج فيلية بانية 1ك,أطياب,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/دجاج جاهز للطبخ/فيليه دجاج,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h28/h95/9802654285854/278776_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc0/h91/9802654187550/278776_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd2/h94/9802654253086/278776_main.jpg_146Wx146H"
Brut Deodorant Solid Oval 56 Gram,Atyab,43.50,اطياب استربس دجاج 400ج,أطياب,أطعمة مجمّدة/الوجبات الجاهزة والمقبلات/دجاج جاهز للطبخ/منتجات الخبز الآخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd3/h22/9286944555038/293835_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha4/h29/9286944358430/293835_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he5/h25/9286944489502/293835_main.jpg_146Wx146H"
HAWAII ICE CREAM YOGH-RASBERRY140M,Hawaii,15.95,هاواى ايس كريم زبادى وتوت 140م,هاواي,أطعمة مجمّدة/بوظة وحلويات/بوظة متنوعة/صندوق فردي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha6/hab/9286815449118/307889_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he9/ha4/9286815252510/307889_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha8/ha8/9286815383582/307889_main.jpg_146Wx146H"
HAWAII ICE CREAM VANILLA ALMON 140M,Hawaii,13.75,هاواي ايس كريم فانيليا ولوز 140م,هاواي,أطعمة مجمّدة/بوظة وحلويات/بوظة متنوعة/صندوق فردي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7c/h70/9286576177182/12224_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h13/h22/9286575980574/12224_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcd/h6f/9286576111646/12224_main.jpg_146Wx146H"
