Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
MONGINIS CHOCOLATE POUND CAKE 9P,Monginis,57.45,مونجينيز باوند كيك شكولتة*9ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h81/h8e/9257274179614/439881_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h18/h40/9257273983006/439881_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd3/h8d/9257274114078/439881_main.jpg_146Wx146H"
Monginis Party Swiss Roll - 1 Piece,Monginis,17.00,مونجينيز بارتى سويس رول 1ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h76/he6/10065553031198/12449_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h62/h9b/10065552932894/12449_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h10/h9c/10065552998430/12449_main.jpg_146Wx146H"
Monginis Chocolate Swiss Roll - 1 Piece,Monginis,3.50,مونجينيز سويس رول 1ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h80/hbc/10067282034718/411538_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6b/hf8/10067281936414/411538_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd7/hbc/10067282001950/411538_main.jpg_146Wx146H"
MONGINIS CHOCOLATE POUND CAKE 1P,Monginis,6.95,مونجينيز باوند كيك شكولتة 1ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0d/h21/10067616071710/439882_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h21/h6c/10067615973406/439882_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h78/h21/10067616038942/439882_main.jpg_146Wx146H"
DOMTY SANDWICH STRAWBERRY JAM 1P,Domty,4.45,دومتى سندوتش مربى فراولة  1ق,دومتي,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h52/h46/10069726593054/494678_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hba/h49/10069726494750/494678_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha9/h46/10069726560286/494678_main.jpg_146Wx146H"
Monginis Chocolate Party Swiss Roll - 1 Piece...,Monginis,17.00,مونجينيز بارتى سويس رول شكولتة 1ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h12/hc0/10066999672862/378944_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7a/hc3/10066999574558/378944_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h69/hc0/10066999640094/378944_main.jpg_146Wx146H"
Monginis Strawberry Swiss Roll - 1 Piece,Monginis,3.50,مونجينيز سويس رول فراوله 1ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc3/hdd/10067273056286/411537_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/haf/h92/10067272957982/411537_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6c/hdd/10067273023518/411537_main.jpg_146Wx146H"
DOMTY SANDWICH CHOCOLATE 1P,Domty,4.45,دومتى سندوتش شوكولتة  1ق,دومتي,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/had/he2/10069724495902/494677_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h45/hdf/10069724397598/494677_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h56/he2/10069724463134/494677_main.jpg_146Wx146H"
Monginis Super Bar Cocoa Cake - 1 Piece,Monginis,4.25,مونجينى سوبر دريم بار كاكاو كيك 1ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h85/hbc/9837822771230/499979_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1c/hb9/9837822672926/499979_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1b/hbc/9837822738462/499979_main.jpg_146Wx146H"
Monginis Super Dream Pie - 2 Pieces,Monginis,4.50,مونجينى سوبر دريم باى 2ق,مونجينس,المخبوزات/كرواسان، باستري وكيك/منتجات حلوة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7c/hab/9837822279710/499985_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h27/ha8/9837822181406/499985_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h25/hab/9837822246942/499985_main.jpg_146Wx146H"
