Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
NESQUIK POWDER POUCH 44G*12,Nesquik,59.40,12*نسكويك باودر كيس 44ج,نيسكويك,المشروبات/مشروبات الطاقة/الشوكولاته الساخنة وغيرها/شوكولاتة ذائبة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0f/hd1/10070082519070/505995_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb9/hcd/10070082420766/505995_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h68/hce/10070082486302/505995_main.jpg_146Wx146H"
Solo Hot Chocolate Powder - 400 gm,Solo,72.95,سولو هوت شيكولته باودر خام 400ج,سولو,المشروبات/مشروبات الطاقة/الشوكولاته الساخنة وغيرها/شوكولاتة ذائبة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h35/h88/10070320087070/506256_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha4/h70/10070319988766/506256_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hde/h87/10070320054302/506256_main.jpg_146Wx146H"
Bekheiro Guava Juice - 1 Liter,Bekhero,6.95,بخيره جوافة عصير 1 ل,بخيره,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه مركّز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1f/haa/10070096936990/507779_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h87/had/10070096838686/507779_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h76/haa/10070096904222/507779_main.jpg_146Wx146H"
"Nescafe 3 In 1 Milky, 20gm - Pack of 12",Nescafe,20.95,12*نسكافيه 3في 1 ميلكي 20ج,نسكافيه,المشروبات/قهوة/أكياس قهوة فورية/أكياس شاي متنوعة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h91/h3f/9176715132958/505372_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he9/h0e/9176714936350/505372_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h80/h3c/9176715067422/505372_main.jpg_146Wx146H"
NESQUIK POWDER POUCH 44G,Nesquik,4.95,نسكويك باودر كيس 44ج,نيسكويك,المشروبات/مشروبات الطاقة/الشوكولاته الساخنة وغيرها/شوكولاتة ذائبة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h38/hd5/10070082682910/505994_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd0/hd1/10070082584606/505994_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he1/hd4/10070082650142/505994_main.jpg_146Wx146H"
SOLO HOT CHOCLATE POWDER PURE 250G,Solo,52.25,سولو شيكولته باودر خام 250ج,سولو,المشروبات/مشروبات الطاقة/الشوكولاته الساخنة وغيرها/شوكولاتة ذائبة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf3/hb5/9802821730334/506259_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5b/hb9/9802821632030/506259_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/had/hb8/9802821697566/506259_main.jpg_146Wx146H"
SOLO PURE COCOA POWDER 400G,Solo,92.45,سولو كاكاو باودر خام 400ج,سولو,المشروبات/مشروبات الطاقة/الشوكولاته الساخنة وغيرها/شوكولاتة ذائبة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8b/h7d/10070283288606/506257_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdf/h80/10070283190302/506257_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he2/h7d/10070283255838/506257_main.jpg_146Wx146H"
Dreem Cocoa Powder - 200gm + Gift,Dreem,31.25,دريم كاكاو خام 200ج+هداية,دريم,المشروبات/مشروبات الطاقة/الشوكولاته الساخنة وغيرها/شوكولاتة ذائبة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4d/h5e/9452700467230/506645_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb6/h61/9452700368926/506645_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha4/h5e/9452700434462/506645_main.jpg_146Wx146H"
Nescafe 3In1 Milky Instant Coffee Powder - 20gm...,Nescafe,1.75,نسكافيه 3في 1 ميلكي 20ج,نسكافيه,المشروبات/قهوة/أكياس قهوة فورية/أكياس شاي متنوعة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha0/hb4/10070121611294/507838_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h37/hb1/10070121512990/507838_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he5/hb1/10070121578526/507838_main.jpg_146Wx146H"
Nouna Hibiscus Syrup - 770ml,,9.95,نونا شربات كركديه 770 م,,المشروبات/العصائر/شرابات ومحليات/شراب,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he6/hf8/10070305013790/507840_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc4/ha7/10070304784414/507840_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h94/hae/10070304981022/507840_main.jpg_146Wx146H"
